1608858900000,23606.48000000,23639.48000000,23602.78000000,23629.74000000,17.66451200,1608859199999,417242.03383633,724,13.53137400,319636.57943972,0
1608859200000,23630.22000000,23639.17000000,23610.68000000,23634.86000000,10.77583600,1608859499999,254637.26094631,721,5.15135200,121737.00983443,0
1608859500000,23634.86000000,23638.89000000,23566.00000000,23573.58000000,21.27452800,1608859799999,501828.42212284,802,9.22717600,217598.94461488,0
1608859800000,23573.13000000,23623.73000000,23573.13000000,23613.28000000,14.44696200,1608860099999,340947.32928477,930,9.92994700,234333.22487087,0
1608860100000,23613.29000000,23646.03000000,23588.61000000,23607.14000000,18.68089100,1608860399999,441140.08272325,1347,8.59322100,202931.13379621,0
1608860400000,23607.14000000,23618.01000000,23561.06000000,23573.07000000,20.57209800,1608860699999,485208.69335040,1199,8.88472400,209575.24898944,0
1608860700000,23573.07000000,23593.81000000,23567.41000000,23587.47000000,5.05002900,1608860999999,119089.57774401,692,3.16675900,74675.84663136,0
1608861000000,23588.11000000,23610.28000000,23566.00000000,23599.90000000,22.11191200,1608861299999,521598.83836547,1096,10.21752700,241010.14060323,0
1608861300000,23599.95000000,23612.52000000,23577.12000000,23584.80000000,8.41314500,1608861599999,198501.43831267,802,3.92953900,92715.11215180,0
1608865200000,23588.60000000,23588.60000000,23420.71000000,23487.64000000,51.82148100,1608865499999,1217693.95098643,2806,20.88299400,490433.65551589,0
1608865500000,23487.24000000,23550.08000000,23454.08000000,23545.72000000,27.73382200,1608865799999,652034.42266234,2203,18.04584100,424337.81167986,0
1608865800000,23544.60000000,23545.69000000,23514.09000000,23518.82000000,29.98219000,1608866099999,705487.68124476,1967,18.90728400,444926.42454129,0
1608866100000,23518.82000000,23535.35000000,23466.81000000,23486.74000000,29.39938800,1608866399999,690906.26910987,2469,14.39111500,338191.57194878,0
1608866400000,23487.20000000,23510.88000000,23469.92000000,23502.09000000,17.69024700,1608866699999,415495.75303803,1540,9.03213100,212145.04336531,0
1608866700000,23502.22000000,23515.49000000,23467.39000000,23467.82000000,18.75129600,1608866999999,440459.94342009,1346,6.72263600,157934.35586247,0
1608867000000,23467.78000000,23549.25000000,23465.48000000,23528.43000000,14.35786200,1608867299999,337539.45002542,1116,9.03229900,212340.63676434,0
1608867300000,23528.71000000,23538.07000000,23505.10000000,23508.95000000,8.34605600,1608867599999,196306.76502436,1090,4.69830900,110508.61521730,0
1608867600000,23509.94000000,23532.93000000,23500.00000000,23515.91000000,6.68811100,1608867899999,157277.64051666,848,3.79616500,89268.21977304,0
1608867900000,23516.84000000,23536.34000000,23500.00000000,23503.49000000,11.07092000,1608868199999,260323.20078682,852,6.78503800,159556.99479799,0
1608868200000,23501.76000000,23501.76000000,23461.95000000,23494.90000000,12.40592200,1608868499999,291396.37392221,834,5.17696500,121592.45184294,0
1608868500000,23494.91000000,23495.24000000,23451.05000000,23467.70000000,18.69102600,1608868799999,438663.88504283,1074,4.13374100,97025.38449409,0
1608868800000,23469.42000000,23502.66000000,23438.65000000,23500.11000000,21.42451300,1608869099999,502809.97442084,1140,13.04772800,306281.98179719,0
1608869100000,23500.66000000,23530.00000000,23498.47000000,23519.02000000,14.19142300,1608869399999,333724.47283570,876,8.01876000,188568.67186605,0
1608869400000,23519.01000000,23538.10000000,23512.61000000,23522.65000000,11.53048800,1608869699999,271263.93843530,832,7.21862900,169815.30979328,0
1608869700000,23522.61000000,23543.49000000,23507.51000000,23543.48000000,11.78234800,1608869999999,277211.61733129,874,6.64214700,156272.50018319,0
1608870000000,23543.48000000,23553.21000000,23528.68000000,23537.46000000,9.40682300,1608870299999,221438.14198708,580,4.44997500,104768.17956812,0
1608870300000,23537.46000000,23540.13000000,23512.57000000,23531.35000000,10.24912100,1608870599999,241136.58972451,646,4.67656000,110034.88835363,0
1608870600000,23531.35000000,23577.86000000,23525.57000000,23552.76000000,17.67980800,1608870899999,416435.10142731,1009,13.24938600,312073.04666457,0
1608870900000,23551.04000000,23551.28000000,23512.23000000,23522.09000000,17.73881100,1608871199999,417416.77487906,1012,4.15452700,97777.57288916,0
1608871200000,23521.36000000,23527.52000000,23500.54000000,23519.00000000,9.98553900,1608871499999,234780.73207520,691,6.88561700,161901.85858268,0
1608871500000,23519.01000000,23563.18000000,23515.17000000,23549.59000000,14.21303000,1608871799999,334584.83499477,770,10.95506100,257882.03405881,0
1608871800000,23549.59000000,23584.25000000,23543.97000000,23574.32000000,9.11211700,1608872099999,214748.47345461,754,5.46574600,128815.58921958,0
1608872100000,23574.21000000,23606.33000000,23562.24000000,23599.43000000,24.17113600,1608872399999,570109.57725828,1194,13.08021200,308532.67132862,0
1608872400000,23601.19000000,23610.00000000,23577.28000000,23582.44000000,14.09502500,1608872699999,332577.15914610,841,4.93381300,116418.83108513,0
1608872700000,23582.44000000,23582.44000000,23550.00000000,23555.65000000,16.03209700,1608872999999,377744.91205908,836,7.15781600,168652.73735463,0
1608873000000,23556.17000000,23568.56000000,23535.56000000,23551.46000000,15.19714600,1608873299999,357859.27520536,736,4.04393700,95234.71675934,0
1608873300000,23551.45000000,23551.45000000,23520.04000000,23527.52000000,29.97266900,1608873599999,705417.46370253,1324,6.06749100,142813.63694458,0
1608873600000,23527.56000000,23563.40000000,23521.07000000,23563.40000000,16.10549700,1608873899999,379234.94271671,967,7.05484300,166129.44879383,0
1608873900000,23563.39000000,23598.44000000,23557.75000000,23584.56000000,13.81854400,1608874199999,325781.59687510,766,4.11027700,96925.98151075,0
1608874200000,23584.56000000,23619.48000000,23577.06000000,23616.77000000,11.68842900,1608874499999,275889.54034293,721,8.16653100,192766.20552556,0
1608874500000,23617.35000000,23632.65000000,23595.68000000,23612.27000000,23.67806600,1608874799999,559270.83814608,1562,9.26012700,218731.92779054,0
1608874800000,23612.86000000,23612.86000000,23563.67000000,23564.77000000,5.39040900,1608875099999,127165.99702658,629,1.93358500,45622.07051297,0
1608875100000,23565.70000000,23575.00000000,23543.41000000,23554.32000000,13.12251000,1608875399999,309219.90931625,682,6.06511400,142896.03717924,0
1608875400000,23554.32000000,23561.29000000,23537.64000000,23539.08000000,9.25398400,1608875699999,217905.41174687,565,3.18442300,74984.72092449,0
1608875700000,23538.94000000,23600.00000000,23519.52000000,23587.75000000,18.49289100,1608875999999,435615.30812671,1056,6.47487100,152545.91451572,0
1608876000000,23587.75000000,23618.90000000,23564.76000000,23576.26000000,14.83386000,1608876299999,350002.56467041,1080,5.94410600,140244.46964739,0
1608876300000,23576.26000000,23576.27000000,23537.83000000,23549.06000000,10.15642300,1608876599999,239197.66233824,915,4.60445700,108432.74657532,0
1608876600000,23550.45000000,23563.73000000,23544.63000000,23554.78000000,6.46212500,1608876899999,152216.91206170,563,2.23332800,52607.07363871,0
1608876900000,23554.77000000,23593.77000000,23554.77000000,23581.49000000,9.52658200,1608877199999,224637.03372113,690,5.89509100,139002.80134537,0
1608877200000,23581.50000000,23616.45000000,23581.50000000,23609.82000000,11.13937500,1608877499999,262946.45551724,879,7.18506200,169602.02592590,0
1608877500000,23609.22000000,23653.45000000,23559.50000000,23560.86000000,28.53901100,1608877799999,674041.78652101,1198,15.36838600,363187.62998599,0
1608877800000,23561.25000000,23642.09000000,23561.25000000,23626.27000000,19.84116500,1608878099999,468218.96830344,1376,9.47887600,223682.67639977,0
1608878100000,23626.27000000,23634.91000000,23582.27000000,23620.83000000,13.51775400,1608878399999,319241.15480597,1379,4.75173100,112217.27936753,0
1608878400000,23621.49000000,23668.40000000,23620.79000000,23652.62000000,29.99494100,1608878699999,709348.42162027,1537,19.23763800,454931.51696239,0
1608878700000,23652.62000000,23669.99000000,23625.46000000,23635.80000000,12.71731500,1608878999999,300702.35846078,1261,5.81512900,137502.57896311,0
1608879000000,23637.68000000,23655.33000000,23621.63000000,23623.62000000,6.22766400,1608879299999,147204.51529317,795,3.60214700,85153.54509732,0
1608879300000,23623.63000000,23636.71000000,23612.98000000,23615.34000000,9.95156700,1608879599999,235097.92604887,726,4.19658000,99145.84162760,0
1608879600000,23615.54000000,23615.54000000,23566.39000000,23580.02000000,32.92269400,1608879899999,776843.48911906,1365,7.02381100,165709.94895480,0
1608879900000,23580.01000000,23580.01000000,23554.46000000,23564.64000000,13.54919600,1608880199999,319314.89502312,1033,8.10572100,191027.97583678,0
1608880200000,23564.63000000,23579.28000000,23544.31000000,23547.68000000,13.16163900,1608880499999,310023.07428289,858,4.89320700,115280.15433424,0
1608880500000,23547.22000000,23557.31000000,23506.37000000,23551.53000000,25.04004400,1608880799999,589371.12381897,1146,13.94412400,328234.49827086,0
1608880800000,23551.55000000,23563.31000000,23511.84000000,23526.73000000,27.04596800,1608881099999,636555.02738077,1371,14.70762500,346178.70065860,0
1608881100000,23525.65000000,23533.59000000,23517.44000000,23527.72000000,10.80537000,1608881399999,254214.27794171,750,4.75989000,111987.10677829,0
1608881400000,23527.73000000,23566.80000000,23516.11000000,23556.64000000,22.30014500,1608881699999,524904.87672039,1604,7.73541400,182081.64547174,0
